Site_ID,Site_Name,Latitude,Longitude,Project,COUNT,d2H,d18O
NLA06608-3660,,40.15668653,-96.77970247,EPA Lakes,1,-13.32835126,-0.868584233
NLA06608-3698,Smith and Sayles Reservoir,41.89097393,-71.68494167,EPA Lakes,1,-36.84778233,-5.213186856
NLA06608-3846,School House Pond,41.39410498,-71.66573009,EPA Lakes,1,-30.76268002,-4.704254012
NLA06608-3890,Beach Pond,41.58007689,-71.79802709,EPA Lakes,1,-35.06447233,-5.071492244
NLA06608-3911,,30.53713917,-92.4431037,EPA Lakes,1,4.164786748,1.63875744
NLA06608-4056,Canton Lake,36.14305845,-98.62856545,EPA Lakes,1,-15.96599769,-2.048418093
NLA06608-4064,Carl Etling Lake,36.84862392,-102.875142,EPA Lakes,1,-17.54623952,-0.36763355
NLA06608-4206,Dolese,35.92127588,-97.41304704,EPA Lakes,1,-3.732560738,1.097717699
NLA06608-4252,Spring Lake,43.49623503,-72.91848548,EPA Lakes,1,-55.89027611,-6.613416867
NLA06608-4320,Kaw Lake,36.74858993,-96.85512233,EPA Lakes,1,-28.83881154,-4.43723007
NLA06608-4382,Rush Creek Site 17 Reservoir,34.72903354,-97.77308405,EPA Lakes,1,-32.26003284,-4.655983053
NLA06608-4413,Bowdish Reservoir,41.92028511,-71.76906052,EPA Lakes,1,-37.94223505,-5.482314569
NLA06608-4414,Spring Creek Lake,34.8862297,-95.16322141,EPA Lakes,1,-12.60893318,-2.208030138
NLA06608-4440,Lake Ponca,36.73591623,-97.03497789,EPA Lakes,1,-15.77987702,-2.569250091
NLA06608-4472,Lake Overholser,35.49774222,-97.67930222,EPA Lakes,1,-12.20207614,-1.747732802
NLA06608-4504,Hudson Lake,36.81228138,-96.04132091,EPA Lakes,1,-12.77002745,-2.43286863
NLA06608-4610,Veteran's Lake,34.48858411,-96.98139727,EPA Lakes,1,-20.50305085,-3.720994713
NLA06608-4643,Birch Lake,36.5147867,-96.19116581,EPA Lakes,1,-11.75499863,-1.839669472
NLA06608-4650,Bayou D'Arbonne Lake,32.71459999,-92.44501566,EPA Lakes,1,-19.14926624,-2.81302791
NLA06608-4659,Crowder Lake,35.39706727,-98.70752087,EPA Lakes,1,-56.51822346,-7.825870087
NLA06608-4686,Lake Rodemacher,31.37317275,-92.74402455,EPA Lakes,1,4.426199686,1.613170633
NLA06608-4698,Wilson Lake,32.09045845,-93.48976305,EPA Lakes,1,5.672862807,1.767887469
NLA06608-4828,,34.96590119,-97.67551876,EPA Lakes,1,-28.91706291,-4.460680862
NLA06608-4929,Upper Clear Boggy Creek Site 25 Reservoir,34.58938281,-96.60527506,EPA Lakes,1,-18.85175047,-3.402548147
NLA06608-4949,Newt Graham Lake,36.07001774,-95.55881188,EPA Lakes,1,-24.53220944,-4.300545466
NLA06608-9999,Maidstone Lake,44.64231,-71.651789,EPA Lakes,1,-62.31632401,-8.158968172
NLA06608-ACAD_LAKES_0435,Lake Wood,44.40788,-68.268509,EPA Lakes,1,-49.541967,-7.377384781
NLA06608-ALPS-1218,Goose Pond,44.836404,-67.881905,EPA Lakes,1,-41.67802783,-4.785123683
NLA06608-ALSC:020149,Long Pond,44.348811,-74.401491,EPA Lakes,1,-66.38491485,-8.70155897
NLA06608-ELS:1C2-032,Crooked Pond,43.296358,-71.428103,EPA Lakes,1,-52.37334321,-6.901208831
NLA06608-ELS:1C3-003,Roderique Pond,45.653548,-69.927263,EPA Lakes,1,-69.22392316,-9.327745887
NLA06608-ELS:1D1-035,Halfway Pond,41.848175,-70.617682,EPA Lakes,1,-38.36739269,-5.548243194
NLA06608-ELS:1D2-087,Cusky Pond,42.323799,-72.092123,EPA Lakes,1,-35.05987847,-3.960391869
NLA06608-ELS:1E1-052,Spring Lake,45.207071,-68.209171,EPA Lakes,1,-48.78773366,-6.166596408
NLA06608-ELS:1E1-096,Middle Chain Pond,45.219001,-68.077773,EPA Lakes,1,-55.94314088,-7.912455586
NLA06608-ELS:1E1-128,Halfmile Pond,44.849882,-68.429254,EPA Lakes,1,-48.49532772,-6.747459859
NLA06608-ELS:1E2-027,Tomhegan Pond,45.799297,-69.889944,EPA Lakes,1,-57.13266124,-6.614379225
