"","Site_ID","Site_Name","Project","COUNT","d2H","d18O","OBJECTID","Dist_moved","h_ann","o_ann","fa_qs_ann","h_win","o_win","fa_qs_win","h_sum","o_sum","fa_qs_sum","elsl","el","es"
"305","NLA06608-0565","Vasona Reservoir","EPA Lakes",1,-27.27554394,-4.026146848,"446463",5,-61.5302273632204,-8.47571179211645,0.00265828287228942,-63.0614029661165,-8.66420079957812,0.00237487349659204,-48.6995241414629,-6.89623615701293,0.000283409404801205,5.22158656828861,5.21793851088103,3.64421877879339
"306","NLA06608-0569","Willow Creek Reservoir","EPA Lakes",1,-9.394752505,3.022832225,"420655",0,-59.5068663715899,-7.63172946285983,0.00483509432524443,-78.7685012382287,-10.328043382019,0.00166900083422661,-49.3530997909146,-6.21036973484572,0.00316609442234039,4.35832062962834,4.40327563136444,3.10238567532271
"307","NLA06608-0570","Cooney Reservoir","EPA Lakes",1,-127.8771866,-16.24625229,"280732",1,-120.321775850075,-15.8711070877883,0.0699720606207848,-144.328286700204,-19.0631802463477,0.0335822142660618,-98.1673729800405,-12.9253101631426,0.0363898538053036,5.0982875073899,5.39540213542808,3.78026219913153
"308","NLA06608-0579","Alkaline Lake","EPA Lakes",1,-38.45299333,-3.299209545,"301656",0,-85.6157154840416,-11.3449615946549,0.00517827551811934,-129.232719010853,-16.8373553449108,0.00153352576307952,-67.2638815399,-9.03403998931652,0.00364474975503981,5.43885379174312,5.44824828528134,3.80345317082751
"309","NLA06608-0580","Flanagan Reservoir","EPA Lakes",1,-36.31936413,-5.498227878,"151649",1,-45.7245997341553,-7.41330077359054,0.00981753133237362,-57.5724972587324,-8.9417254199676,0.00481711095198989,-34.3110412579474,-5.94090672501907,0.00500041944906116,5.01355640138184,5.02194217662333,3.50715537274838
"310","NLA06608-0581","Magic Reservoir","EPA Lakes",1,-126.9155845,-16.20461548,"429835",0,-117.205642669962,-15.5792037355856,0.218217730522156,-123.070884427859,-16.376901980452,0.180943831801414,-88.7334491616754,-11.7068586253753,0.0372738055884838,4.92984577093123,5.1051263519269,3.5851929050188
"311","NLA06608-0582","Union Pond","EPA Lakes",1,-49.25593844,-7.471125693,"9591",0,-53.1317306831441,-8.16484750942432,0.0255897454917431,-63.8249207719241,-9.54217072918958,0.0145796723663807,-38.9716839638314,-6.34098005802922,0.0110100731253624,5.56721991357402,5.57675872168806,3.87628113671488
"312","NLA06608-0583","Blue Lake","EPA Lakes",1,13.46180408,3.407098433,"218179",4,-21.9879985455655,-3.77800376044895,0.0103157665580511,-26.0671985064516,-4.34501845095742,0.00521049834787846,-17.8247210875965,-3.19930195167081,0.00510526727885008,4.904241794027,4.89975053467372,3.41305366170931
"313","NLA06608-0585","S. Line Reservoir","EPA Lakes",1,-89.24729624,-10.71988875,"423583",0,-99.6208700973448,-13.5929205391506,0.000483869633171707,-108.526145486633,-14.7652753960401,0.0003338830138091,-79.7970698540166,-10.9831622541294,0.000149986517499201,4.80653045629073,4.91258242044873,3.45367699798413
"314","NLA06608-0587","Bass Lake","EPA Lakes",2,-18.94627532,-1.341755382,"199920",0,-48.1443562445871,-7.31434477877603,0.0255139153450727,-68.0575536647197,-10.0450629216617,0.0122138131409883,-29.857578707165,-4.80665659655824,0.0133001049980521,5.36029119629629,5.34216341317676,3.71977402608422
